date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:27	1466/1466	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2260272775-e05%22	https://ghadaalmashaqbeh.github.io/robots.txt		(from )
01:04:27	5678/5678	---M-Z	200	added ('OK')	text/html	etag:W/%2260272775-162e%22	https://ghadaalmashaqbeh.github.io/	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/index.html	(from )
01:04:28	6982/6982	---M-Z	200	added ('OK')	text/css	etag:W/%2260272775-1b46%22	https://ghadaalmashaqbeh.github.io/assets/main.css	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/assets/main.css	(from https://ghadaalmashaqbeh.github.io/)
01:04:29	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Feb%202021%2004:04:29%20GMT	http://ghadaalmashaqbeh.github.io//feed.xml	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/feed.1.delayed	(from https://ghadaalmashaqbeh.github.io/)
01:04:30	4291/4291	---M-Z	200	added ('OK')	application/xml	etag:W/%2260272775-10c3%22	https://ghadaalmashaqbeh.github.io//feed.xml	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/feed.xml	(from https://ghadaalmashaqbeh.github.io/)
01:04:32	7747/7747	---M-Z	200	added ('OK')	text/html	etag:W/%2260272775-1e43%22	https://ghadaalmashaqbeh.github.io/research/	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/research/index.html	(from https://ghadaalmashaqbeh.github.io/)
01:04:32	6798/6798	---M-Z	200	added ('OK')	text/html	etag:W/%2260272775-1a8e%22	https://ghadaalmashaqbeh.github.io/talks-and-panels/	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/talks-and-panels/index.html	(from https://ghadaalmashaqbeh.github.io/)
01:04:33	8470/8470	---M-Z	200	added ('OK')	text/html	etag:W/%2260272775-2116%22	https://ghadaalmashaqbeh.github.io/publications/	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/publications/index.html	(from https://ghadaalmashaqbeh.github.io/)
01:04:33	3570/3570	---M-Z	200	added ('OK')	text/html	etag:W/%2260272775-df2%22	https://ghadaalmashaqbeh.github.io/teaching/	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/teaching/index.html	(from https://ghadaalmashaqbeh.github.io/)
01:04:34	3444/3444	---M-Z	200	added ('OK')	text/html	etag:W/%2260272775-d74%22	https://ghadaalmashaqbeh.github.io/team/	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/team/index.html	(from https://ghadaalmashaqbeh.github.io/)
01:04:34	319035/319035	---M--	200	added ('OK')	image/jpeg	etag:%2260272772-4de3b%22	https://ghadaalmashaqbeh.github.io/images/ghada0.jpg	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/images/ghada0.jpg	(from https://ghadaalmashaqbeh.github.io/)
01:04:35	79544/79544	---M--	200	added ('OK')	application/pdf	etag:%2260272772-136b8%22	https://ghadaalmashaqbeh.github.io/preprint/almashaqbeh-login-21.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/preprint/almashaqbeh-login-21.pdf	(from https://ghadaalmashaqbeh.github.io/publications/)
01:04:36	1493892/1493892	---M--	200	added ('OK')	application/pdf	etag:%2260272772-16cb84%22	https://ghadaalmashaqbeh.github.io/slides/microcash-fc-2020.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/microcash-fc-2020.pdf	(from https://ghadaalmashaqbeh.github.io/publications/)
01:04:37	1209835/1209835	---M--	200	added ('OK')	application/pdf	etag:%2260272772-1275eb%22	https://ghadaalmashaqbeh.github.io/slides/capnet-cns-2019.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/capnet-cns-2019.pdf	(from https://ghadaalmashaqbeh.github.io/publications/)
01:04:38	992853/992853	---M--	200	added ('OK')	application/pdf	etag:%2260272772-f2655%22	https://ghadaalmashaqbeh.github.io/slides/abc-cryblock-2019.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/abc-cryblock-2019.pdf	(from https://ghadaalmashaqbeh.github.io/publications/)
01:04:39	2538160/2538160	---M--	200	added ('OK')	application/pdf	etag:%2260272772-26bab0%22	https://ghadaalmashaqbeh.github.io/slides/ghc-2020-talk.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/ghc-2020-talk.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:40	1581618/1581618	---M--	200	added ('OK')	application/pdf	etag:%2260272772-182232%22	https://ghadaalmashaqbeh.github.io/slides/micropayments-talk.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/micropayments-talk.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:41	3242343/3242343	---M--	200	added ('OK')	application/pdf	etag:%2260272772-317967%22	https://ghadaalmashaqbeh.github.io/slides/job-talk.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/job-talk.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:42	4937082/4937082	---M--	200	added ('OK')	application/pdf	etag:%2260272772-4b557a%22	https://ghadaalmashaqbeh.github.io/slides/cachecash-thesis-defense.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/cachecash-thesis-defense.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:43	1869720/1869720	---M--	200	added ('OK')	application/pdf	etag:%2260272772-1c8798%22	https://ghadaalmashaqbeh.github.io/slides/age-of-cryptocurrencies.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/age-of-cryptocurrencies.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:44	2378632/2378632	---M--	200	added ('OK')	application/pdf	etag:%2260272772-244b88%22	https://ghadaalmashaqbeh.github.io/slides/threat-modeling-for-cryptocurrency-based-systems.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/threat-modeling-for-cryptocurrency-based-systems.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:45	1550979/1550979	---M--	200	added ('OK')	application/pdf	etag:%2260272772-17aa83%22	https://ghadaalmashaqbeh.github.io/slides/resource-backed-cryptocurrencies-talk.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/resource-backed-cryptocurrencies-talk.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:46	2633288/2633288	---M--	200	added ('OK')	application/pdf	etag:%2260272772-282e48%22	https://ghadaalmashaqbeh.github.io/slides/sensible-cryptocurrencies-talk.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/sensible-cryptocurrencies-talk.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:47	4618/4618	---M-Z	200	added ('OK')	text/html	etag:W/%2260272775-120a%22	https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/cse3400-s2021/index.html	(from https://ghadaalmashaqbeh.github.io/teaching/)
01:04:47	9883/9883	---M-Z	200	added ('OK')	text/html	etag:W/%2260272775-269b%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/index.html	(from https://ghadaalmashaqbeh.github.io/teaching/)
01:04:48	1059687/1059687	---M--	200	added ('OK')	application/pdf	etag:%2260272772-102b67%22	https://ghadaalmashaqbeh.github.io/slides/Digital-currencies-talk.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/slides/Digital-currencies-talk.pdf	(from https://ghadaalmashaqbeh.github.io/talks-and-panels/)
01:04:49	154005/154005	---M--	200	added ('OK')	application/pdf	etag:%2260272772-25995%22	https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/cse3400-syllabus.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/cse3400-s2021/cse3400-syllabus.pdf	(from https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/)
01:04:51	4425874/4425874	---M--	200	added ('OK')	application/pdf	etag:%2260272772-438892%22	https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/lecture4.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/cse3400-s2021/lecture4.pdf	(from https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/)
01:04:53	3844132/3844132	---M--	200	added ('OK')	application/pdf	etag:%2260272772-3aa824%22	https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/lecture1.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/cse3400-s2021/lecture1.pdf	(from https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/)
01:04:53	1832715/1832715	---M--	200	added ('OK')	application/pdf	etag:%2260272772-1bf70b%22	https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/lecture2.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/cse3400-s2021/lecture2.pdf	(from https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/)
01:04:53	2705851/2705851	---M--	200	added ('OK')	application/pdf	etag:%2260272772-2949bb%22	https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/lecture3.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/cse3400-s2021/lecture3.pdf	(from https://ghadaalmashaqbeh.github.io/courses/cse3400-s2021/)
01:04:54	150361/150361	---M--	200	added ('OK')	application/pdf	etag:%2260272772-24b59%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/syllabus.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/syllabus.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:04:56	743087/743087	---M--	200	added ('OK')	application/pdf	etag:%2260272772-b56af%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/cryptoReg.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/cryptoReg.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:04:56	485657/485657	---M--	200	added ('OK')	application/pdf	etag:%2260272772-76919%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/ZKP.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/ZKP.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:04:58	2483318/2483318	---M--	200	added ('OK')	application/pdf	etag:%2260272772-25e476%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture15.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture15.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:04:58	1464058/1464058	---M--	200	added ('OK')	application/pdf	etag:%2260272772-1656fa%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture16.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture16.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:00	4168762/4168762	---M--	200	added ('OK')	application/pdf	etag:%2260272772-3f9c3a%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture12.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture12.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:02	175815/175815	---M--	200	added ('OK')	application/pdf	etag:%2260272772-2aec7%22	https://ghadaalmashaqbeh.github.io/unpublished/ghc-2020-full-version.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/unpublished/ghc-2020-full-version.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:02	4467488/4467488	---M--	200	added ('OK')	application/pdf	etag:%2260272772-442b20%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture13.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture13.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:03	409895/409895	---M--	200	added ('OK')	application/pdf	etag:%2260272772-64127%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture10.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture10.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:04	855112/855112	---M--	200	added ('OK')	application/pdf	etag:%2260272772-d0c48%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture11.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture11.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:04	5984230/5984230	---M--	200	added ('OK')	application/pdf	etag:%2260272772-5b4fe6%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture14.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture14.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:05	801218/801218	---M--	200	added ('OK')	application/pdf	etag:%2260272772-c39c2%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture9.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture9.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:06	1092177/1092177	---M--	200	added ('OK')	application/pdf	etag:%2260272772-10aa51%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture8.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture8.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:07	573358/573358	---M--	200	added ('OK')	application/pdf	etag:%2260272772-8bfae%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture6.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture6.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:21	1621140/1621140	---M--	200	added ('OK')	application/pdf	etag:%2260272772-18bc94%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture4.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture4.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:27	6788552/6788552	---M--	200	added ('OK')	application/pdf	etag:%2260272772-6795c8%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture3.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture3.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:27	1439135/1439135	---M--	200	added ('OK')	application/pdf	etag:%2260272772-15f59f%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture1.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture1.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:27	7436219/7436219	---M--	200	added ('OK')	application/pdf	etag:%2260272772-7177bb%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture5.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture5.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:27	5934048/5934048	---M--	200	added ('OK')	application/pdf	etag:%2260272772-5a8be0%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture7.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture7.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
01:05:28	6304986/6304986	---M--	200	added ('OK')	application/pdf	etag:%2260272772-6034da%22	https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture2.pdf	/Users/pauloalves/websites/personalPage/ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/lecture2.pdf	(from https://ghadaalmashaqbeh.github.io/courses/blockchain-technology-f2020/)
